source_index,uncommonsense_context,commonsense_context,outcome
8662,Aubrey just got a new job and already liked their coworkers.,Aubrey just got a new job but did not like their coworkers.,Aubrey will want to quit the job immediately.
1715,"Lucy placed a pan of food into the oven. She set a timer and sat down to watch television. After awhile, she smelled smoke. Quickly, she checked the timer and realized it never went off.","Lucy placed a pan of food into the oven. She set a timer and sat down to watch television. After awhile, she smelled aroma coming from the kitchen as the timer went off.",Lucy realized the meal was perfectly cooked.
5582,Cameron tasted the sauce that their girlfriend made. Cameron said it tasted delicious.,Cameron tasted the sauce that their girlfriend made. Cameron hated it.,Cameron is unsatisfied.
9485,Robin received documents from her employee that were not very good.,Robin received documents from her employee that were very good.,Robin is ecstatic.
7764,"Casey was always a hard person to please, she never gave Cameron credit for the good things he did.","Casey was always a hard person to please, but she always gave Cameron credit for the good things he did.",Cameron will become Casey's best friend.
8982,Jesse goes to a casino every time they have extra money. Jesse never leaves until they lose every cent of their money.,"Jesse goes to a casino every time they have extra money, but she always leaves  before they lose any cent of their money.",Jesse has a lot of money.
1548,Last night was very scary. We had a tornado warning and terrible thunderstorms. Unfortunately my concert for violin was not canceled. I was required to show up but during the performance lights went out.,Last night was very scary. We had a tornado warning and terrible thunderstorms. Unfortunately my concert for violin was not canceled. I was required to show up and I performed flawlessly despite the weather.,Nobody seemed to notice what had happened.
3855,"Jordan was going to the mall to go shopping for some shoes. Jordan invited Jesse to come with him. Jesse said yes. Like Jordan, Jesse was also interested in getting some shoes.",Jordan was going to the mall to go shopping for some shoes. Jordan invited Jesse to come with him. Jesse said no. Jordan felt hurt by Jesse's decline and no longer felt in the mood to shop.,Jordan stayed at home instead.
482,"My friends and I got invited to a party at college. We got all dressed up for the exciting event. We were all so excited to have fun! At the party, we danced the whole time.",My friends and I did not get invited to a party at college. We did not get dressed up. We were all so upset and did not have fun because we could not dance at the party.,We hate parties.
6356,Ash welcomed Jan back into the group and everyone took him out for dinner.,Ash excluded Jan from the group and everyone went to dinner without Jan.,Jan will be upset.
1019,Dave gathered up all of his beach gear. He took the day off just so he could spend it on the beach. When he went outside he discovered it was much too dark. The sky was full of black storm clouds.,Dave gathered up all of his beach gear. He took the day off just so he could spend it on the beach. When he went outside he discovered it was sunny. The sky was blue and cloudless.,Dave was so relieved!
10954,Quinn invited their family over to their home for Thanksgiving dinner.,Quinn did not invited their family over to their home for Thanksgiving dinner.,Quinn will decide to go on vacation instead of hosting the dinner.
